year_month,NSW,VIC,QLD,SA,TAS,WA
2007-01,26,24,10,56,0,38
2007-02,95,70,35,180,0,106
2007-03,208,162,69,391,0,210
2007-04,366,314,115,658,2,329
2007-05,578,526,162,951,2,475
2007-06,854,796,235,1335,5,672
2007-07,1253,1143,363,1868,13,899
2007-08,1794,1607,534,2603,23,1188
2007-09,2521,2207,795,3503,38,1550
2007-10,3450,3032,1216,4635,54,1981
2007-11,4570,4007,1754,6020,83,2519
2007-12,5931,5115,2454,7691,122,3152
2008-01,7580,6357,3251,9622,174,3880
2008-02,9490,7769,4170,11846,239,4710
2008-03,11691,9379,5207,14334,309,5616
2008-04,14195,11301,6474,17129,397,6659
2008-05,17036,13557,7999,20298,504,7860
2008-06,20158,15999,9814,23797,617,9225
2008-07,23659,18685,11951,27728,755,10763
2008-08,27543,21526,14378,32136,906,12554
2008-09,31872,24556,17196,36972,1093,14648
2008-10,36704,27815,20678,42370,1293,17229
2008-11,42018,31308,24751,48354,1526,20259
2008-12,48048,35143,29567,54884,1802,23789
2009-01,54695,39329,35058,61962,2116,27806
2009-02,62206,44086,41419,69800,2455,32456
2009-03,70817,49348,49036,78520,2863,37881
2009-04,80631,55046,57786,88100,3308,44096
2009-05,91656,61375,67864,98631,3800,51410
2009-06,103922,68248,79793,109923,4342,59727
2009-07,117610,75893,93927,122081,4952,69167
2009-08,133179,84401,110187,135271,5769,79780
2009-09,151085,94139,128895,149597,6881,91550
2009-10,171561,105235,150685,166498,8339,105061
2009-11,195062,118116,176495,185036,10090,120796
2009-12,221508,133113,205750,204985,12073,138589
2010-01,250737,150596,238127,227299,14298,158411
2010-02,284126,171555,274541,251101,16755,180494
2010-03,323940,197320,316303,276642,19528,205600
2010-04,371208,227911,363368,304262,22650,233448
2010-05,428273,264801,416822,334438,26081,265011
2010-06,499396,307187,478350,367079,29852,300074
2010-07,585692,354034,548269,402137,33797,338935
2010-08,689044,404824,627496,439987,37880,381833
2010-09,811410,460768,716071,481349,42177,428707
2010-10,955185,522653,814781,526244,46685,480080
2010-11,1123455,591110,926931,576006,51523,536540
2010-12,1308557,665390,1048619,630430,56546,597051
2011-01,1521816,746493,1180856,690491,61803,664320
2011-02,1762308,835808,1326669,758319,67490,739033
2011-03,2033071,936593,1490808,836298,73564,823270
2011-04,2329209,1048805,1673051,924916,80056,917495
2011-05,2656880,1179036,1888085,1029216,87421,1029246
2011-06,3021972,1338126,2152503,1158193,96158,1166336
2011-07,3393101,1506687,2432738,1299461,105260,1313555
2011-08,3769411,1686646,2726470,1454670,114684,1473083
2011-09,4150481,1886187,3033311,1627177,124469,1644976
2011-10,4536720,2089484,3352480,1817842,134640,1821023
2011-11,4929281,2298618,3686258,2025529,145286,2001118
2011-12,5327214,2513713,4033297,2243679,156271,2185373
2012-01,5729533,2734454,4392725,2469704,167622,2373528
2012-02,6137986,2964807,4774265,2703846,179733,2568034
2012-03,6554543,3207860,5180845,2946328,192743,2769989
2012-04,6979812,3466055,5616834,3197669,206795,2980188
2012-05,7422995,3749437,6100318,3465476,222835,3203377
2012-06,7897737,4067901,6651094,3757918,242141,3443718
2012-07,8380949,4402997,7235508,4060478,263095,3692421
2012-08,8873592,4754878,7863696,4372437,285923,3958134
2012-09,9375728,5140565,8529723,4691644,310373,4229579
2012-10,9889066,5536266,9230213,5020162,336701,4507456
2012-11,10415669,5942754,9962009,5358393,365099,4792091
2012-12,10963665,6366067,10730599,5714837,396395,5086541
2013-01,11521825,6797941,11516816,6078745,429541,5386908
2013-02,12091894,7239769,12320284,6450220,465226,5693869
2013-03,12673536,7692170,13145544,6829728,503611,6006681
2013-04,13265700,8155342,13996560,7216509,544319,6325854
2013-05,13870290,8630627,14884640,7611539,587524,6651687
2013-06,14485365,9117019,15825896,8014989,632564,6983677
2013-07,15113385,9614850,16788952,8428554,679648,7321521
2013-08,15755228,10124404,17767308,8855148,728564,7663981
2013-09,16411037,10644384,18760401,9297889,780045,8010996
2013-10,17080331,11177497,19769086,9761013,835710,8364173
2013-11,17775314,11723203,20793983,10244149,895640,8723059
2013-12,18485270,12280646,21832845,10742485,958595,9087335
2014-01,19204740,12848563,22887390,11258413,1024078,9457222
2014-02,19935312,13429604,23961857,11779126,1092071,9833922
2014-03,20677858,14024789,25058006,12305400,1161927,10217530
2014-04,21432708,14635921,26175272,12836032,1233223,10607308
2014-05,22224107,15263500,27317632,13372583,1306052,11004691
2014-06,23029685,15904250,28483514,13913920,1380412,11409441
2014-07,23851167,16561541,29674295,14461633,1456343,11821842
2014-08,24688117,17232996,30884924,15015456,1534538,12243092
2014-09,25543229,17920723,32116183,15576150,1613774,12674008
2014-10,26417352,18625628,33367427,16144934,1693832,13115342
2014-11,27309308,19345797,34635887,16719676,1774808,13565775
2014-12,28218034,20080460,35922283,17300587,1856726,14025342
2015-01,29140597,20827202,37223296,17886195,1939281,14492505
2015-02,30081062,21588083,38540164,18477205,2022789,14966790
2015-03,31141476,22362751,39874880,19073783,2107138,15448096
2015-04,32214895,23150280,41224519,19675666,2192094,15936011
2015-05,33304085,23949117,42592198,20283060,2277675,16431754
2015-06,34409194,24760838,43976177,20896389,2364013,16935515
2015-07,35584177,25586002,45380143,21515679,2451160,17448087
2015-08,36774442,26424067,46800092,22140164,2539050,17969406
2015-09,37980553,27275083,48237321,22770778,2627664,18498908
2015-10,39201859,28139112,49690153,23407188,2717271,19038033
2015-11,40438383,29015148,51161904,24049756,2807940,19586126
2015-12,41690807,29904052,52648297,24697774,2899696,20143253
2016-01,42952902,30801027,54146081,25350069,2992168,20708402
2016-02,44284741,31710517,55658461,26008231,3085575,21282706
2016-03,45630275,32632705,57184749,26672006,3179926,21866473
2016-04,46989366,33566788,58724827,27341076,3275075,22470304
2016-05,48363069,34512928,60279684,28015459,3371204,23084473
2016-06,49750980,35470696,61850821,28695362,3468369,23708427
2016-07,51152330,36439864,63437873,29380977,3566465,24342128
2016-08,52568852,37420280,65042389,30074412,3665623,24988205
2016-09,54002992,38412961,66664385,30774686,3765785,25646544
2016-10,55451846,39418608,68304179,31481911,3866712,26316602
2016-11,56920153,40437569,69965565,32197922,3968805,26999830
2016-12,58434432,41474444,71654391,32925634,4072440,27698904
2017-01,59961281,42520948,73358195,33659545,4176752,28409889
2017-02,61505157,43580434,75081739,34409239,4282183,29134518
2017-03,63069346,44655338,76852514,35169084,4388676,29874782
2017-04,64649683,45742798,78644182,35934825,4495913,30628217
2017-05,66257057,46847813,80462431,36708355,4604237,31397922
2017-06,67888391,47972027,82306268,37490026,4713813,32184592
2017-07,69544655,49113279,84191887,38280189,4824685,32986042
2017-08,71225202,50272196,86107586,39080991,4936926,33803862
2017-09,72929570,51449036,88052545,39892775,5050394,34636446
2017-10,74662030,52646739,90024515,40719349,5165324,35485664
2017-11,76429724,53868081,92051979,41561103,5286010,36353188
2017-12,78298853,55117724,94190787,42422581,5408604,37241846
2018-01,80227083,56383724,96374773,43294511,5532016,38146323
2018-02,82186184,57675853,98586704,44180382,5656792,39067183
2018-03,84179888,59053571,101126204,45080564,5783387,40004670
2018-04,86220479,60455682,103694007,45998996,5911356,40957924
2018-05,88378304,61906238,106296404,47071565,6040776,41927927
2018-06,90572934,63382623,108935858,48163736,6172357,42913550
2018-07,92809719,64993496,111885812,49269605,6305606,43917627
2018-08,95090011,66640027,115080825,50390635,6441390,44938974
2018-09,97622830,68318978,118643275,51666648,6578432,45977840
2018-10,100197661,70156389,122263866,52960653,6717232,47037741
2018-11,102820625,72148444,126030307,54278624,6858093,48121571
2018-12,105496725,74186887,129923452,55621863,7001305,49228990
2019-01,108205030,76261531,133966688,56978658,7145528,50371881
2019-02,110957722,78380847,138178645,58483426,7291172,51545154
2019-03,113757477,80549795,142431999,60011606,7438168,52736758
2019-04,116708973,82764636,146794922,61560634,7586570,53944478
2019-05,119712114,85141099,151339738,63132076,7736442,55172412
2019-06,122764736,87543483,156018484,64725987,7887919,56418696
2019-07,125877097,89979025,160753161,66348624,8041035,57686368
2019-08,129273879,92450364,165551869,67993700,8195941,58979120
2019-09,132726876,94958541,170404625,69660603,8352767,60294236
2019-10,136497953,97513686,175315149,71360670,8511679,61634537
2019-11,140477973,100142979,180459436,73085793,8672894,63010709
2019-12,145176566,102834651,185668904,74843846,8836830,64417259
2020-01,149922647,105563281,190923907,76638870,9002524,65846233
2020-02,154736588,108341670,196233294,78456748,9170405,67300129
2020-03,159743039,111169840,201606382,80300490,9341226,68780955
2020-04,164817781,114069265,207113122,82166198,9513766,70284489
2020-05,169952286,117001671,212667713,84051431,9687985,71809595
2020-06,175122128,119954668,218255353,85947225,9862913,73480766
,,,,,,
